region,num_economactivepopulation_all,employed_num_all,unemployed_num_all,eactivity_lvl,employment_lvl,unemployment_lvl,dis_unagegroup_to20,dis_unagegroup_20-29,dis_unagegroup_30-39,dis_unagegroup_40-49,dis_unagegroup_50-59,dis_unagegroup_60older,dis_emagegroup_to20,dis_emagegroup_20-29,dis_emagegroup_30-39,dis_emagegroup_40-49,dis_emagegroup_50-59,dis_emagegroup_60older,num_unagegroup_to20,num_unagegroup_20-29,num_unagegroup_30-39,num_unagegroup_40-49,num_unagegroup_50-59,num_unagegroup_60older,num_emagegroup_to20,num_emagegroup_20-29,num_emagegroup_30-39,num_emagegroup_40-49,num_emagegroup_50-59,num_emagegroup_60older,year
Кемеровская область,"1438,8","1295,3","143,6","62,8","56,5",10,"7,1","33,2","19,9","27,8","11,3","0,7",2,"23,2","25,8","31,7","13,8","3,5","10,2","47,7","28,6","39,9","16,2",1,"25,9","300,5","334,2","410,6","178,8","45,3",2001
Новосибирская область,"1307,6","1146,1","161,5","61,8","54,1","12,4","10,7","27,7","21,1","28,3","9,4","2,8","2,8","22,5","25,9","31,2","14,1","3,5","17,3","44,7","34,1","45,7","15,2","4,5","32,1","257,9","296,8","357,6","161,6","40,1",2001
Омская область,"979,4","881,7","97,7","59,9","53,9",10,"9,8","27,8","23,3","27,9","9,4","1,8","3,4","22,9","27,7","29,9","12,5","3,6","9,6","27,2","22,8","27,3","9,2","1,8",30,"201,9","244,2","263,6","110,2","31,7",2001
Томская область,"533,9","481,6","52,3","64,5","58,2","9,8","9,8","28,3","25,6","25,9","4,3",6,"1,6","21,4","27,8","30,9","14,4","3,9","5,1","14,8","13,4","13,5","2,2","3,1","7,7","103,1","133,9","148,8","69,4","18,8",2001
Читинская область,"543,5","451,2","92,3","58,2","48,3",17,"8,7","26,3","28,6","17,7","18,3","0,4","3,2","23,4","26,5","33,9","11,2","1,8",8,"24,3","26,4","16,3","16,9","0,4","14,4","105,6","119,6",153,"50,5","8,1",2001
Дальневосточный федеральный округ,"3723,3","3344,9","378,4","67,2","60,4","10,2","7,9","31,8","24,1","23,8","9,7","2,7","1,7","21,7",27,"30,9","14,7",4,"29,9","120,3","91,2","90,1","36,7","10,2","56,9","725,8","903,1","1033,6","491,7","133,8",2001
Республика Саха (Якутия),"488,9","448,9",40,"67,7","62,2","8,2","12,6","29,7","23,7","24,5","7,2","2,4","2,3","23,3","26,5","31,5","12,2","4,1",5,"11,9","9,5","9,8","2,9",1,"10,3","104,6",119,"141,4","54,8","18,4",2001
Приморский край,"1141,7",1043,"98,7","67,3","61,4","8,6","6,4",29,"30,1","23,4","9,1",2,"1,6","21,8","26,6","29,9","15,6","4,5","6,3","28,6","29,7","23,1",9,2,"16,7","227,4","277,4","311,9","162,7","46,9",2001
Хабаровский край,"775,7","695,9","79,8","66,2","59,4","10,3","8,7","34,3","20,2","20,5","12,4","3,7","1,8","20,1","28,4","30,7",15,4,"6,9","27,4","16,1","16,4","9,9",3,"12,5","139,9","197,6","213,6","104,4","27,8",2001
Амурская область,486,"426,9","59,1","63,7",56,"12,2","6,2","34,8","23,5","25,3","8,9","1,2","1,1","22,9","28,2","31,9","13,9","2,1","3,7","20,6","13,9",15,"5,3","0,7","4,7","97,8","120,4","136,2","59,3",9,2001
Камчатская область,232,"198,3","33,7","74,3","63,5","14,5","4,5","29,4",21,"28,8","12,8","3,5","1,7","22,5","28,5","28,8","14,6",4,"1,5","9,9","7,1","9,7","4,3","1,2","3,4","44,6","56,5","57,1",29,"7,9",2001
Магаданская область,"138,1",122,"16,1",72,"63,6","11,7",16,"28,9","18,2","21,3","11,6",4,"2,1","18,9","24,4","33,8","16,9","3,9","2,6","4,7","2,9","3,4","1,9","0,6","2,6","23,1","29,8","41,2","20,6","4,8",2001
Сахалинская область,"323,1","284,4","38,8","68,7","60,4",12,"7,8","33,3","23,8",26,"5,6","3,4","1,2","21,7","25,7","31,7","14,5","5,2",3,"12,9","9,2","10,1","2,2","1,3","3,4","61,7","73,1","90,2","41,2","14,8",2001
Еврейская автономная область,"93,8","84,9","8,9","63,3","57,3","9,5","3,1","36,5","24,6","21,9","10,2","3,8","1,9","22,5","24,3","31,3","16,5","3,5","0,3","3,2","2,2","1,9","0,9","0,3","1,6","19,1","20,6","26,6",14,3,2001
Чукотский автономный округ,44,"40,7","3,3","71,7","66,3","7,4","13,2","34,1","22,2","16,4","12,5","1,6","1,9",19,"24,2","35,3","17,9","1,7","0,4","1,1","0,7","0,5","0,4","0,1","0,8","7,7","9,8","14,4","7,3","0,7",2001
Республика Крым,"915,5","857,2","58,4","64,4","60,3","6,4","1,9","27,9","29,3","19,7","20,4","0,7","0,4","19,8","28,5","24,7","21,9","4,7","1,1","16,3","17,1","11,5","11,9","0,4","3,6","170","244,2","212","187,5","39,9",2017
